,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,World Population Prospects: The 2012 Revision,,,,,,,,,,,,,,,,,,,,,,,
,,,,"File POP/7-1: Total population (both sexes combined) by five-year age group, major area, region and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,
,,,,"Estimates, 1950-2010",,,,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/WPP/Rev.2012/POP/F07-1,,,,,,,,,,,,,,,,,,,,,,,
,,,,June 2013 - Copyright © 2013 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Population Prospects: The 2012 Revision, DVD Edition.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Total population, both sexes combined, by five-year age group (thousands)",,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Major area, region, country or area *",Notes,Country code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
1,Estimates,WORLD,,900,1950,  337 251,  269 704,  260 697,  238 747,  222 005,  194 256,  167 209,  162 933,  147 581,  127 432,  107 612,  88 577,  73 348,  55 075,  37 370,  21 846,  14 136,…,…,…,…,…
2,Estimates,WORLD,,900,1955,  405 738,  314 146,  263 500,  254 932,  231 742,  215 029,  188 115,  160 731,  155 485,  138 721,  119 100,  97 404,  76 988,  59 465,  40 474,  23 995,  16 086,…,…,…,…,…
3,Estimates,WORLD,,900,1960,  433 231,  381 461,  308 046,  258 324,  248 292,  225 859,  209 154,  182 469,  153 498,  147 618,  130 225,  108 914,  85 598,  63 339,  44 695,  26 681,  18 597,…,…,…,…,…
4,Estimates,WORLD,,900,1965,  479 684,  410 360,  373 429,  302 363,  252 011,  242 384,  220 192,  203 138,  175 784,  145 372,  138 328,  119 683,  95 795,  70 864,  48 199,  30 058,  21 479,…,…,…,…,…
5,Estimates,WORLD,,900,1970,  520 790,  461 057,  405 234,  368 391,  296 285,  246 786,  237 369,  214 950,  197 499,  169 784,  138 147,  129 181,  107 974,  82 362,  56 068,  33 566,  25 730,…,…,…,…,…
6,Estimates,WORLD,,900,1975,  541 263,  502 057,  455 229,  399 769,  362 507,  292 242,  243 224,  232 930,  209 831,  191 260,  162 543,  129 474,  117 564,  93 786,  66 144,  40 151,  31 046,…,…,…,…,…
7,Estimates,WORLD,,900,1980,  545 877,  524 690,  497 005,  450 683,  394 321,  357 215,  288 242,  238 485,  227 731,  203 456,  183 383,  153 256,  118 393,  103 190,  76 472,  48 655,  37 994,…,…,…,…,…
